model,n_agents,door_width,n_exits,room_size,panic_speed,seed,escaped_count_final,escaped_fraction_final,test_case,changed_var,changed_value,run
baseline,50,1.2,1,20.0,1.5,1000,0,0.0,TC1,n_agents,50,1
baseline,50,1.2,1,20.0,1.5,1001,0,0.0,TC1,n_agents,50,2
baseline,50,1.2,1,20.0,1.5,1002,0,0.0,TC1,n_agents,50,3
baseline,100,1.2,1,20.0,1.5,1000,0,0.0,TC1,n_agents,100,1
baseline,100,1.2,1,20.0,1.5,1001,0,0.0,TC1,n_agents,100,2
baseline,100,1.2,1,20.0,1.5,1002,0,0.0,TC1,n_agents,100,3
baseline,500,1.2,1,20.0,1.5,1000,0,0.0,TC1,n_agents,500,1
baseline,500,1.2,1,20.0,1.5,1001,0,0.0,TC1,n_agents,500,2
baseline,500,1.2,1,20.0,1.5,1002,0,0.0,TC1,n_agents,500,3
behavioral,50,1.2,1,20.0,1.5,1000,0,0.0,TC1,n_agents,50,1
behavioral,50,1.2,1,20.0,1.5,1001,0,0.0,TC1,n_agents,50,2
behavioral,50,1.2,1,20.0,1.5,1002,0,0.0,TC1,n_agents,50,3
behavioral,100,1.2,1,20.0,1.5,1000,0,0.0,TC1,n_agents,100,1
behavioral,100,1.2,1,20.0,1.5,1001,0,0.0,TC1,n_agents,100,2
behavioral,100,1.2,1,20.0,1.5,1002,0,0.0,TC1,n_agents,100,3
behavioral,500,1.2,1,20.0,1.5,1000,0,0.0,TC1,n_agents,500,1
behavioral,500,1.2,1,20.0,1.5,1001,0,0.0,TC1,n_agents,500,2
behavioral,500,1.2,1,20.0,1.5,1002,0,0.0,TC1,n_agents,500,3
group,50,1.2,1,20.0,1.5,1000,0,0.0,TC1,n_agents,50,1
group,50,1.2,1,20.0,1.5,1001,0,0.0,TC1,n_agents,50,2
group,50,1.2,1,20.0,1.5,1002,0,0.0,TC1,n_agents,50,3
group,100,1.2,1,20.0,1.5,1000,0,0.0,TC1,n_agents,100,1
group,100,1.2,1,20.0,1.5,1001,0,0.0,TC1,n_agents,100,2
group,100,1.2,1,20.0,1.5,1002,0,0.0,TC1,n_agents,100,3
group,500,1.2,1,20.0,1.5,1000,0,0.0,TC1,n_agents,500,1
group,500,1.2,1,20.0,1.5,1001,0,0.0,TC1,n_agents,500,2
group,500,1.2,1,20.0,1.5,1002,0,0.0,TC1,n_agents,500,3
